comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  latencies(ms)  bandwidths(Mbs)  input_size  preprocess  splitroles  verifybuffer  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
0.02          3                  1                  0    4        256       406       1         0         5         10000     10000     1              2500             100         0           1           2             .000712      NA          .000032           .000297             .000362            .001250              5             225
0.01          3                  1                  0    4        256       406       1         0         5         10000     10000     1              2500             1000        0           1           2             .000394      NA          .000059           .000522             .000881            .001250              4             232
0.01          3                  1                  0    4        256       406       1         0         5         10000     10000     1              2500             10000       0           1           2             .000354      NA          .000306           .002688             .003478            .003750              7             233
0.03          3                  1                  0    4        256       406       1         0         5         10000     10000     1              2500             100000      0           1           2             .000505      NA          .002870           .020117             .028803            .029166              52            252
0.01          3                  1                  0    4        256       406       1         0         5         10000     10000     1              2500             1000000     0           1           2             .002263      NA          .022795           .216571             .304132            .305833              478           186
0.02          3                  1                  0    4        256       406       1         0         5         10000     10000     1              2500             10          0           1           2             .000342      NA          .000029           .000214             .000317            .000833              3             291
0.02          3                  1                  0    4        256       406       1         0         5         10000     10000     1              2500             100         0           1           2             .000206      NA          .000029           .000264             .000356            .000416              4             372
0.02          3                  1                  0    4        256       406       1         0         5         10000     10000     1              2500             1000        0           1           2             .000409      NA          .000057           .000548             .000743            .001250              4             244
0.03          3                  1                  0    4        256       406       1         0         5         10000     10000     1              2500             10000       0           1           2             .000339      NA          .000340           .002596             .004205            .004583              11            223
0.02          3                  1                  0    4        256       406       1         0         5         10000     10000     1              2500             100000      0           1           2             .001033      NA          .002981           .023063             .031784            .032916              50            232
0.03          3                  1                  0    4        256       406       1         0         5         10000     10000     1              2500             1000000     0           1           2             .001997      NA          .022266           .221105             .276542            .277916              475           201
0.03          3                  1                  0    4        256       406       1         0         5         10000     10000     1              2500             10          0           1           2             .000710      NA          .000034           .000255             .000356            .001250              3             243
0.03          3                  1                  0    4        256       406       1         0         5         10000     10000     1              2500             100         0           1           2             .000722      NA          .000032           .000316             .000390            .001250              4             206
0.02          3                  1                  0    4        256       406       1         0         5         10000     10000     1              2500             1000        0           1           2             .000724      NA          .000067           .000565             .000782            .001666              4             216
